,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lambda_1,1.339,0.113,1.137,1.56,0.003,0.002,1125.0,2188.0,1.0
a_1,0.002,0.02,-0.036,0.038,0.0,0.0,3139.0,2999.0,1.0
intercept_1,-2.973,0.081,-3.132,-2.827,0.001,0.001,3406.0,3178.0,1.0
eps_1,0.908,0.056,0.81,1.019,0.001,0.001,4606.0,3128.0,1.0
a_2,0.004,0.004,-0.005,0.012,0.0,0.0,3130.0,3106.0,1.0
intercept_2,-0.387,0.019,-0.42,-0.35,0.0,0.0,3295.0,2884.0,1.0
eps_2,0.2,0.012,0.177,0.223,0.0,0.0,2946.0,2504.0,1.0
mu_5,24.835,0.259,24.388,25.327,0.017,0.012,236.0,377.0,1.0
mu_6,11.861,0.272,11.331,12.339,0.018,0.013,234.0,389.0,1.0
sigma_5,3.056,0.165,2.726,3.335,0.011,0.008,239.0,452.0,1.0
sigma_6,5.193,0.176,4.878,5.537,0.011,0.008,241.0,453.0,1.0
w[0],0.339,0.021,0.299,0.375,0.001,0.001,235.0,383.0,1.0
w[1],0.661,0.021,0.625,0.701,0.001,0.001,235.0,383.0,1.0
mu_7,23.52,0.216,23.064,23.858,0.015,0.01,215.0,217.0,1.01
mu_8,5.416,0.252,5.003,5.828,0.017,0.012,227.0,466.0,1.0
sigma_7,5.015,0.138,4.747,5.254,0.009,0.006,247.0,294.0,1.01
sigma_8,6.992,0.166,6.684,7.305,0.01,0.007,252.0,433.0,1.01
w[0],0.455,0.014,0.43,0.48,0.001,0.001,216.0,246.0,1.01
w[1],0.545,0.014,0.52,0.57,0.001,0.001,216.0,246.0,1.01
mu_3,2.193,0.027,2.143,2.246,0.001,0.0,2813.0,2259.0,1.0
sigma_3,0.313,0.019,0.282,0.352,0.0,0.0,3808.0,2787.0,1.0
mu_4,2.765,0.055,2.662,2.869,0.001,0.001,2940.0,2306.0,1.0
sigma_4,0.631,0.04,0.559,0.706,0.001,0.0,3773.0,2345.0,1.0
a_3,-0.106,0.039,-0.175,-0.029,0.001,0.001,3263.0,2727.0,1.0
a_4,0.22,0.041,0.141,0.295,0.001,0.001,2355.0,2620.0,1.0
a_5,0.76,0.839,-0.826,2.328,0.013,0.011,4041.0,2905.0,1.0
a_6,0.507,0.082,0.35,0.654,0.002,0.001,2603.0,2488.0,1.0
a_7,-0.405,0.976,-2.188,1.452,0.014,0.015,4750.0,2722.0,1.0
a_8,-0.016,0.025,-0.063,0.029,0.0,0.0,3521.0,2801.0,1.0
intercept_3,1.155,0.921,-0.578,2.87,0.015,0.012,3562.0,2733.0,1.0
eps_3,1.979,0.139,1.712,2.229,0.002,0.002,4105.0,2736.0,1.0
